for,21116,0
mailer,2659,0
center,5393,0
exchange,5862,0
transfer,5394,0
form,535,0
msmbx01v,2365,0
charset,5542,0
cdt,3006,0
windows,1515,0
168,10644,0
content,22432,0
3,7796,0
2,14164,0
1,25745,0
http,23300,0
5,20119,0
4,20659,0
8,15203,0
mime,5325,0
19,3819,0
subject,5744,0
line,684,0
greg,202,0
16,3997,0
nahou,20888,0
version,4886,0
printable,1592,0
encoding,5217,0
reply,2715,0
08,2348,0
09,2291,0
226,1888,0
a,39120,0
esmtp,11926,0
n,3846,0
04,2776,0
wed,4385,0
0500,4367,0
05,2603,0
06,7590,0
01,3492,0
02,2655,0
03,2571,0
10,5826,0
gmt,365,0
whalley,233,0
2001,15233,0
x,10390,0
to,32608,0
0800,6073,0
unverified,5180,0
110,10536,0
multipart,2770,0
normal,1907,0
smtpsvc,10682,0
type,10583,0
boundary,2578,0
192,10629,0
2195,10411,0
enron,63263,0
0600,13598,0
priority,3370,0
head,3213,0
text,8464,0
white,335,0
alternative,2329,0
napdx,1891,0
237,5332,0
msmail,1415,0
1600,1494,0
mailman,12018,0
55,1333,0
www,9323,0
corp,36005,0
mscnx06p,10326,0
with,29627,0
quoted,1597,0
smtprs,5163,0
technologies,5548,0
51,1285,0
html,10170,0
smtp,959,0
info,2088,0
26,2431,0
7,4876,0
asp,2005,0
18,4036,0
15,4248,0
176,211,0
express,1469,0
12,4997,0
_,1505,0
f,4980,0
98,283,0
g,5890,0
e,7689,0
request,155,0
outlook,1282,0
co,2555,0
57,1212,0
56,1203,0
49,1394,0
48,1501,0
in,16027,0
52,1686,0
50,2130,0
need,928,0
else,59,0
iso,2499,0
200,1057,0
27,2406,0
system,864,0
price,2106,0
6,4709,0
each,466,0
we,5010,0
net,11216,0
20,8625,0
8859,1848,0
do,1542,0
site,753,0
b,26448,0
c,3393,0
o,5344,0
us,4305,0
07,2362,0
00,6659,0
matt,525,0
produced,1121,0
u,2314,0
v6,917,0
having,144,0
reports,113,0
executive,96,0
got,255,0
59,1403,0
name,2349,0
plain,3098,0
all,3300,0
law,64,0
46,1378,0
you,11371,0
our,4473,0
out,1642,0
open,168,0
file,260,0
on,5834,0
move,314,0
org,869,0
ascii,1653,0
my,1577,0
point,1174,0
mimeole,1829,0
buy,452,0
every,358,0
together,128,0
more,2154,0
here,2097,0
called,61,0
have,3537,0
full,485,0
it,3757,0
check,485,0
around,197,0
first,433,0
34,1489,0
39,1356,0
0700,581,0
43,1330,0
42,1359,0
41,1291,0
24,3387,0
9,4672,0
11,14179,0
100,2572,0
d,2972,0
t,3958,0
45,1501,0
jeff,141,0
36,1511,0
33,1337,0
38,1339,0
31,2104,0
dasovich,125,0
40,1614,0
22,4489,0
207,236,0
28,2223,0
29,2293,0
30,2998,0
32,1744,0
17,3816,0
w,2144,0
r,3045,0
y,3440,0
email,3085,0
area,763,0
top,1794,0
47,1308,0
mailto,446,0
53,1323,0
build,337,0
no,3016,0
thu,4422,0
21,3693,0
0000,1854,0
63,910,0
base64,393,0
ect,1416,0
over,1284,0
l,4026,0
m,3680,0
v,2306,0
p,14675,0
and,24931,0
related,484,0
required,228,0
37,1410,0
urn,214,0
really,172,0
office,989,0
7bit,2218,0
prices,859,0
23,3851,0
13,3772,0
great,509,0
54,1342,0
million,519,0
tuesday,128,0
less,308,0
president,237,0
said,167,0
35,1497,0
forward,1549,0
interest,639,0
how,563,0
25,2890,0
give,247,0
i,6975,0
both,387,0
after,574,0
amount,123,0
would,668,0
be,7225,0
so,1278,0
